Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
,SMA Negeri 10 Pandeglang,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,259.0,659.0,209.0,145.0,
,SMA PGRI 10,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,145.0,711.0,390.0,449.0,
,SMAN 1 Plumbon,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,352.0,402.0,721.0,457.0,
,SMA Negeri 1 Talun,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,246.0,643.0,737.0,770.0,
,SMA Angkasa 2 Jakarta,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,202.0,301.0,668.0,168.0,
,SMAK IPEKA Pluit,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,592.0,429.0,118.0,147.0,
,SMA Kencana,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,878.0,776.0,737.0,435.0,
,SMA Wijaya Kusuma,UNIVERSITAS HASANUDDIN,ARKEOLOGI,UNIVERSITAS HASANUDDIN,ARKEOLOGI,UNIVERSITAS HASANUDDIN,ARKEOLOGI,256.0,395.0,614.0,185.0,
,SMA Negeri 34,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,698.0,392.0,629.0,669.0,
,SMA Dewi Sartika,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,621.0,677.0,746.0,263.0,
,SMA Santo Louis 1,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,642.0,609.0,778.0,716.0,
,SMA NEGERI 1 Sedayu,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,397.0,792.0,660.0,674.0,
,SMA Negeri 1 Sirampog,UNIVERSITAS HASANUDDIN,MATEMATIKA,UNIVERSITAS HASANUDDIN,MATEMATIKA,UNIVERSITAS HASANUDDIN,MATEMATIKA,815.0,563.0,107.0,440.0,
,SMA YASDA,UNIVERSITAS HASANUDDIN,FISIKA,UNIVERSITAS HASANUDDIN,FISIKA,UNIVERSITAS HASANUDDIN,FISIKA,155.0,243.0,819.0,246.0,
,SMA Ignatius Slamet Riyadi,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,301.0,383.0,177.0,637.0,
,SMK Petra,UNIVERSITAS HASANUDDIN,FARMASI,UNIVERSITAS HASANUDDIN,FARMASI,UNIVERSITAS HASANUDDIN,FARMASI,366.0,616.0,820.0,408.0,
,SMA Negeri 1 Bulu,UNIVERSITAS HASANUDDIN,KIMIA,UNIVERSITAS HASANUDDIN,KIMIA,UNIVERSITAS HASANUDDIN,KIMIA,786.0,274.0,188.0,484.0,
,SMA Negeri 68,UNIVERSITAS HASANUDDIN,BIOLOGI,UNIVERSITAS HASANUDDIN,BIOLOGI,UNIVERSITAS HASANUDDIN,BIOLOGI,639.0,296.0,459.0,635.0,
,SMA Negeri 1 Bandongan,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,723.0,135.0,526.0,400.0,
,SMA Negeri 13 Semarang,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,448.0,533.0,107.0,406.0,
,SMA YMIK 1,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,270.0,649.0,395.0,696.0,
,SMA Xaverius 2 Palembang,UNIVERSITAS HASANUDDIN,AGRIBISNIS,UNIVERSITAS HASANUDDIN,AGRIBISNIS,UNIVERSITAS HASANUDDIN,AGRIBISNIS,115.0,277.0,863.0,236.0,
,SMA Negeri 1 Panggul,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,520.0,374.0,734.0,220.0,
,SMA Negeri 2 Sragen,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,140.0,816.0,656.0,552.0,
,SMAK Pancaran Berkat,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,402.0,340.0,435.0,552.0,
,SMA Muhammadiyah 1 Sampang,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,737.0,646.0,337.0,808.0,
,SMA Damai,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,234.0,517.0,282.0,359.0,
,SMA KP Cikalongwetan,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,393.0,535.0,149.0,386.0,
,SMALB Bina Putera,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,550.0,211.0,311.0,602.0,
,SMK BPK Penabur,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,687.0,236.0,701.0,129.0,
,SMA Negeri 1 Panggang,UNIVERSITAS HASANUDDIN,KEHUTANAN,UNIVERSITAS HASANUDDIN,KEHUTANAN,UNIVERSITAS HASANUDDIN,KEHUTANAN,843.0,758.0,700.0,207.0,
,SMA Bina Tama Sleman,UNIVERSITAS HASANUDDIN,GEOFISIKA,UNIVERSITAS HASANUDDIN,GEOFISIKA,UNIVERSITAS HASANUDDIN,GEOFISIKA,310.0,462.0,512.0,309.0,
,SMA Kelapa Dari,UNIVERSITAS HASANUDDIN,STATISTIKA,UNIVERSITAS HASANUDDIN,STATISTIKA,UNIVERSITAS HASANUDDIN,STATISTIKA,626.0,402.0,175.0,625.0,
,SMAI Nahdhatul Wathan,UNIVERSITAS HASANUDDIN,ILMU GIZI,UNIVERSITAS HASANUDDIN,ILMU GIZI,UNIVERSITAS HASANUDDIN,ILMU GIZI,463.0,154.0,757.0,592.0,
,SMA Pergunas 1,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,351.0,764.0,667.0,811.0,
,SMAI Said Naum,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,667.0,382.0,606.0,311.0,
,SMA Al Hikmah Surabaya,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,704.0,854.0,555.0,760.0,
,SMA PSKD 3,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,476.0,150.0,587.0,416.0,
,SMA Kalam Kudus 2,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,379.0,750.0,350.0,175.0,
,SMA Bina Bangsa,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,578.0,783.0,512.0,632.0,
,SMA Negeri 97,UNIVERSITAS HASANUDDIN,PETERNAKAN,UNIVERSITAS HASANUDDIN,PETERNAKAN,UNIVERSITAS HASANUDDIN,PETERNAKAN,193.0,181.0,550.0,409.0,
,SMA Ilham Diakui Makassar,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,130.0,420.0,301.0,241.0,
,SMA Kartika Siliwangi 3 Bandung,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,849.0,421.0,228.0,107.0,
,SMA Advent,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,654.0,126.0,424.0,464.0,
,SMA Mahatma Gandhi,UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,219.0,521.0,111.0,248.0,
,SMA Chartar Buana,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,791.0,124.0,409.0,181.0,
,SMA IT Al-Multazam,UNIVERSITAS HASANUDDIN,TEKNIK INFORMATIKA,UNIVERSITAS HASANUDDIN,TEKNIK INFORMATIKA,UNIVERSITAS HASANUDDIN,TEKNIK INFORMATIKA,170.0,122.0,596.0,206.0,
,SMA YP Mulia,UNIVERSITAS HASANUDDIN,FISOTERAPI,UNIVERSITAS HASANUDDIN,FISOTERAPI,UNIVERSITAS HASANUDDIN,FISOTERAPI,505.0,860.0,138.0,791.0,
,SMA Negeri 11 Tangerang,UNIVERSITAS HASANUDDIN,TEKNIK LINGKUNGAN,UNIVERSITAS HASANUDDIN,TEKNIK LINGKUNGAN,UNIVERSITAS HASANUDDIN,TEKNIK LINGKUNGAN,509.0,688.0,613.0,267.0,
,SMA Negeri 41,UNIVERSITAS HASANUDDIN,KEDOKTERAN HEWAN,UNIVERSITAS HASANUDDIN,KEDOKTERAN HEWAN,UNIVERSITAS HASANUDDIN,KEDOKTERAN HEWAN,676.0,294.0,654.0,691.0,
,SMA Mardi Siswa,UNIVERSITAS HASANUDDIN,PSIKOLOGI,UNIVERSITAS HASANUDDIN,PSIKOLOGI,UNIVERSITAS HASANUDDIN,PSIKOLOGI,787.0,445.0,483.0,711.0,
,SMA Negeri 4 Bengkulu,UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,856.0,446.0,367.0,213.0,
,SMA Wisuda,UNIVERSITAS HASANUDDIN,MANAJEMEN,UNIVERSITAS HASANUDDIN,MANAJEMEN,UNIVERSITAS HASANUDDIN,MANAJEMEN,237.0,518.0,849.0,633.0,
,SMA Darul Falah Cihampelas,UNIVERSITAS HASANUDDIN,ILMU HUKUM,UNIVERSITAS HASANUDDIN,ILMU HUKUM,UNIVERSITAS HASANUDDIN,ILMU HUKUM,865.0,289.0,762.0,801.0,
,SMA Dr Wahidin Mlati,UNIVERSITAS HASANUDDIN,ILMU POLITIK,UNIVERSITAS HASANUDDIN,ILMU POLITIK,UNIVERSITAS HASANUDDIN,ILMU POLITIK,640.0,605.0,284.0,846.0,
,SMA Santo Carolus,UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,896.0,657.0,237.0,563.0,
,SMA Suluh,UNIVERSITAS HASANUDDIN,ILMU SEJARAH,UNIVERSITAS HASANUDDIN,ILMU SEJARAH,UNIVERSITAS HASANUDDIN,ILMU SEJARAH,192.0,258.0,843.0,413.0,
,SMAI Nahdhatul Wathan,UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,433.0,623.0,777.0,106.0,
,SMAK 7 PENABUR Cipinang Indah,UNIVERSITAS HASANUDDIN,SOSIOLOGI,UNIVERSITAS HASANUDDIN,SOSIOLOGI,UNIVERSITAS HASANUDDIN,SOSIOLOGI,120.0,858.0,784.0,216.0,
,SMA Kosgoro,UNIVERSITAS HASANUDDIN,AKUNTANSI,UNIVERSITAS HASANUDDIN,AKUNTANSI,UNIVERSITAS HASANUDDIN,AKUNTANSI,767.0,402.0,471.0,110.0,
,SMA Muhammadiyah 1 Jombang,UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,111.0,315.0,370.0,420.0,
,MAN 1 Majenang,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,743.0,384.0,158.0,190.0,
,SMA Negeri Banyumas,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,ILMU ADMINISTRASI NEGARA,811.0,218.0,176.0,123.0,
,SMA Bina Pangudi Luhur,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,663.0,300.0,720.0,192.0,
,SMA Muhammadiyah 4,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,506.0,850.0,646.0,801.0,
,SMAN 1 Cirebon,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,637.0,436.0,553.0,803.0,
,SMA Nurul Amal Palembang,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,221.0,598.0,628.0,277.0,
,SMA Muhammadiyah 1,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,578.0,659.0,231.0,711.0,
,SMA Negeri 4 Cilegon,UNIVERSITAS HASANUDDIN,ARKEOLOGI,UNIVERSITAS HASANUDDIN,ARKEOLOGI,UNIVERSITAS HASANUDDIN,ARKEOLOGI,134.0,615.0,797.0,462.0,
,SMA Negeri 1 Nguter,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,UNIVERSITAS HASANUDDIN,SASTRA JEPANG,806.0,733.0,282.0,276.0,
,SMA Pancasila Purworejo,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,UNIVERSITAS HASANUDDIN,ILMU EKONOMI,355.0,822.0,565.0,220.0,
,SMA Pasundan 8,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,609.0,116.0,448.0,500.0,
,SMA Negeri 1 Cilacap,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,569.0,711.0,422.0,844.0,
,SMA Negeri 2 Bae Kudus(SSN),UNIVERSITAS HASANUDDIN,MATEMATIKA,UNIVERSITAS HASANUDDIN,MATEMATIKA,UNIVERSITAS HASANUDDIN,MATEMATIKA,193.0,588.0,757.0,786.0,
,SMA Santo Peter,UNIVERSITAS HASANUDDIN,FISIKA,UNIVERSITAS HASANUDDIN,FISIKA,UNIVERSITAS HASANUDDIN,FISIKA,204.0,158.0,122.0,418.0,
,SMA Sultan Syarif Abdurachman,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,704.0,444.0,505.0,556.0,
,SMA Kesatrian 1,UNIVERSITAS HASANUDDIN,FARMASI,UNIVERSITAS HASANUDDIN,FARMASI,UNIVERSITAS HASANUDDIN,FARMASI,809.0,654.0,724.0,435.0,
,SMA Santo Stanislaus,UNIVERSITAS HASANUDDIN,KIMIA,UNIVERSITAS HASANUDDIN,KIMIA,UNIVERSITAS HASANUDDIN,KIMIA,491.0,554.0,486.0,333.0,
,SMA Dian Kartika,UNIVERSITAS HASANUDDIN,BIOLOGI,UNIVERSITAS HASANUDDIN,BIOLOGI,UNIVERSITAS HASANUDDIN,BIOLOGI,555.0,568.0,673.0,857.0,
,SMA Perguruan Rakyat 3,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,129.0,590.0,672.0,582.0,
,SMA Negeri 1 Jepara,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,133.0,583.0,266.0,671.0,
,SMA Negeri 1 Semanu,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,654.0,167.0,840.0,224.0,
,SMA Bintang Laut,UNIVERSITAS HASANUDDIN,AGRIBISNIS,UNIVERSITAS HASANUDDIN,AGRIBISNIS,UNIVERSITAS HASANUDDIN,AGRIBISNIS,433.0,266.0,360.0,534.0,
,SMAI Nurul Falah,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,202.0,742.0,440.0,158.0,
,SMA Kusuma Bangsa Palembang,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,763.0,713.0,218.0,291.0,
,SMAI Al Jihad,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,UNIVERSITAS HASANUDDIN,TEKNIK MESIN,260.0,312.0,868.0,286.0,
,SMA Harapan 1,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,425.0,698.0,787.0,404.0,
,SMA Tunas Bangsa,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,477.0,532.0,565.0,574.0,
,SMA Kristen 2,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,507.0,482.0,470.0,587.0,
,SMA Tarakanita Gading Serpong,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,891.0,656.0,252.0,132.0,
,SMA Kr. Petra 5,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,165.0,175.0,876.0,167.0,
,SMA Bhakti,UNIVERSITAS HASANUDDIN,KEHUTANAN,UNIVERSITAS HASANUDDIN,KEHUTANAN,UNIVERSITAS HASANUDDIN,KEHUTANAN,492.0,315.0,592.0,377.0,
,SMA Negeri 1 Malang,UNIVERSITAS HASANUDDIN,GEOFISIKA,UNIVERSITAS HASANUDDIN,GEOFISIKA,UNIVERSITAS HASANUDDIN,GEOFISIKA,570.0,849.0,227.0,654.0,
,SMA Negeri 3,UNIVERSITAS HASANUDDIN,STATISTIKA,UNIVERSITAS HASANUDDIN,STATISTIKA,UNIVERSITAS HASANUDDIN,STATISTIKA,334.0,389.0,310.0,560.0,
,SMA Trinitas,UNIVERSITAS HASANUDDIN,ILMU GIZI,UNIVERSITAS HASANUDDIN,ILMU GIZI,UNIVERSITAS HASANUDDIN,ILMU GIZI,180.0,201.0,169.0,565.0,
,SMA-IT Al Uswah,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,789.0,416.0,266.0,282.0,
,SMAK 3 BPK Penabur,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,331.0,124.0,577.0,545.0,
,SMA Negeri 1 Magetan,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,630.0,800.0,607.0,561.0,
,SMA Katolik Frater Don Bosco,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,536.0,753.0,849.0,308.0,
,SMA Negeri 1 Batulayar,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,851.0,846.0,328.0,733.0,
,SMA Charitas,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,701.0,620.0,212.0,325.0,
,SMA Kristen YPKM,UNIVERSITAS HASANUDDIN,PETERNAKAN,UNIVERSITAS HASANUDDIN,PETERNAKAN,UNIVERSITAS HASANUDDIN,PETERNAKAN,114.0,620.0,213.0,238.0,
,SMA Diakonia,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,535.0,604.0,529.0,695.0,
,SMA Negeri 1 Warunggunung,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,199.0,486.0,250.0,574.0,
,SMA Leppesa Cililin,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,654.0,717.0,585.0,357.0,
,"SMA Tri Ratna Krukut, Tamansari, Jakarta Barat",UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,283.0,572.0,524.0,820.0,
,SMA Bunda Kandung,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,688.0,798.0,132.0,806.0,
